sample	query	model	description	bitscore	evalue
GCF_009720165.1	GLX29_RS18010	PF09704.10	CRISPR-associated protein (Cas_Cas5)	113.1	5.6e-35
GCF_009720165.1	GLX29_RS17995	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	125.1	2.9e-39
GCF_009720165.1	GLX29_RS04720	PF13280.6	WYL domain	66.1	1.3e-20
GCF_009720165.1	GLX29_RS02600	PF13280.6	WYL domain	79.3	1.2e-24
GCF_009720165.1	GLX29_RS18020	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	79.0	1.7e-24
GCF_009720545.1	F1729_RS29535	PF13280.6	WYL domain	129.6	4e-40
GCF_009720585.1	GMA16_RS00295	PF13280.6	WYL domain	62.7	1.5e-19
GCF_009730095.1	FOB21_RS00475	PF09618.10	CRISPR-associated protein (Cas_Csy4)	184.2	8.3e-57
GCF_009730095.1	FOB21_RS14530	PF13280.6	WYL domain	99.6	6.9e-31
GCF_009730095.1	FOB21_RS13825	PF13280.6	WYL domain	84.8	2.3e-26
GCF_009730095.1	FOB21_RS02860	PF13280.6	WYL domain	89.4	9.2e-28
GCF_009730155.1	FOC36_RS10355	PF13280.6	WYL domain	91.7	1.9e-28
GCF_009730155.1	FOC36_RS07840	PF13280.6	WYL domain	105.4	1.1e-32
GCF_009730195.1	FOC30_RS20745	PF13280.6	WYL domain	67.8	3.9e-21
GCF_009730255.1	FOC57_RS03105	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	441.4	1.7e-134
GCF_009730255.1	FOC57_RS03100	PF01867.16	CRISPR associated protein Cas1	97.5	2.5e-30
GCF_009730255.1	FOC57_RS03095	PF09827.9	CRISPR associated protein Cas2	65.6	1.1e-20
GCF_009730255.1	FOC57_RS03105	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	204.6	8.3e-63
GCF_009730275.1	FOC51_RS08980	PF09827.9	CRISPR associated protein Cas2	69.4	7.6e-22
GCF_009730275.1	FOC51_RS08985	PF01867.16	CRISPR associated protein Cas1	102.1	1e-31
GCF_009730275.1	FOC51_RS08990	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	177.1	2.1e-54
GCF_009730275.1	FOC51_RS09005	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	452.9	5.4e-138
GCF_009730295.1	FOC50_RS06335	PF13280.6	WYL domain	77.1	5.6e-24
GCF_009730315.1	FOC49_RS06495	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	421.6	1.7e-128
GCF_009730315.1	FOC49_RS06495	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	182.4	5.1e-56
GCF_009730315.1	FOC49_RS06340	PF13280.6	WYL domain	113.0	5.3e-35
GCF_009730335.1	FOC40_RS08315	PF09827.9	CRISPR associated protein Cas2	70.1	4.6e-22
GCF_009730335.1	FOC40_RS08300	PF03787.15	RAMP superfamily	90.2	6.1e-28
GCF_009730335.1	FOC40_RS06130	PF13280.6	WYL domain	73.4	7.6e-23
GCF_009730335.1	FOC40_RS02220	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	115.3	3.3e-36
GCF_009730335.1	FOC40_RS02210	PF08798.11	CRISPR associated protein	194.8	7.3e-60
GCF_009730335.1	FOC40_RS02205	PF09704.10	CRISPR-associated protein (Cas_Cas5)	172.9	2.8e-53
GCF_009730335.1	FOC40_RS02200	PF09344.10	CT1975-like protein	368.3	1.8e-112
GCF_009730335.1	FOC40_RS02195	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	100.1	5.1e-31
GCF_009730335.1	FOC40_RS08320	PF01867.16	CRISPR associated protein Cas1	106.6	4.3e-33
GCF_009730335.1	FOC40_RS02190	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	347.7	4.1e-106
GCF_009730355.1	FOC46_RS06995	PF13280.6	WYL domain	68.6	2.3e-21
GCF_009730415.1	FOB85_RS02980	PF13280.6	WYL domain	154.4	1e-47
GCF_009730435.1	FOB84_RS19480	PF13280.6	WYL domain	110.2	3.7e-34
GCF_009730435.1	FOB84_RS11455	PF13280.6	WYL domain	111.4	1.6e-34
GCF_009730435.1	FOB84_RS08245	PF13280.6	WYL domain	117.3	2.5e-36
GCF_009730435.1	FOB84_RS11450	PF13280.6	WYL domain	89.3	9.9e-28
GCF_009730435.1	FOB84_RS20415	PF13280.6	WYL domain	119.0	7.4e-37
GCF_009730455.1	FOB83_RS23775	PF13280.6	WYL domain	70.9	4.5e-22
GCF_009730455.1	FOB83_RS10970	PF13280.6	WYL domain	63.8	6.5e-20
GCF_009730475.1	FOB82_RS12440	PF13280.6	WYL domain	63.9	6.1e-20
GCF_009730475.1	FOB82_RS12435	PF13280.6	WYL domain	79.7	9e-25
GCF_009730475.1	FOB82_RS11055	PF09617.10	CRISPR-associated protein GSU0053 (Cas_GSU0053)	118.7	8.4e-37
GCF_009730475.1	FOB82_RS11080	PF09827.9	CRISPR associated protein Cas2	64.4	2.7e-20
GCF_009730475.1	FOB82_RS11075	PF01930.17	Domain of unknown function DUF83	75.5	1.6e-23
GCF_009730475.1	FOB82_RS11075	PF01867.16	CRISPR associated protein Cas1	238.3	3e-73
GCF_009730535.1	FOB91_RS10165	PF13280.6	WYL domain	126.3	4.3e-39
GCF_009730535.1	FOB91_RS00990	PF13280.6	WYL domain	109.4	6.6e-34
GCF_009730535.1	FOB91_RS02330	PF09659.10	CRISPR-associated protein (Cas_Csm6)	105.3	9.9e-33
GCF_009730535.1	FOB91_RS02915	PF16813.5	CRISPR-associated protein Csn2 subfamily St	257.6	5.2e-79
GCF_009730535.1	FOB91_RS02925	PF01867.16	CRISPR associated protein Cas1	96.5	4.9e-30
GCF_009730535.1	FOB91_RS02930	PF18061.1	CRISPR-Cas9 WED domain	144.5	6.7e-45
GCF_009730535.1	FOB91_RS02930	PF18070.1	CRISPR-Cas9 PI domain	72.0	1.6e-22
GCF_009730555.1	FOB90_RS00415	PF09827.9	CRISPR associated protein Cas2	60.9	3.3e-19
GCF_009730555.1	FOB90_RS00395	PF18061.1	CRISPR-Cas9 WED domain	126.5	2.5e-39
GCF_009730555.1	FOB90_RS00390	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	66.0	9.5e-21
GCF_009730575.1	FOB89_RS14460	PF09618.10	CRISPR-associated protein (Cas_Csy4)	172.3	3.8e-53
GCF_009730595.1	STABA_RS03135	PF01867.16	CRISPR associated protein Cas1	106.4	5e-33
GCF_009730595.1	STABA_RS03130	PF09827.9	CRISPR associated protein Cas2	63.8	4.2e-20
GCF_009730655.1	GMX02_RS21650	PF09615.10	CRISPR-associated protein (Cas_Csy3)	170.5	2e-52
GCF_009730655.1	GMX02_RS02405	PF09611.10	CRISPR-associated protein (Cas_Csy1)	230.8	9e-71
GCF_009730655.1	GMX02_RS02420	PF09618.10	CRISPR-associated protein (Cas_Csy4)	151.3	1e-46
GCF_009730655.1	GMX02_RS02415	PF09615.10	CRISPR-associated protein (Cas_Csy3)	357.4	2.6e-109
GCF_009730655.1	GMX02_RS02410	PF09614.10	CRISPR-associated protein (Cas_Csy2)	272.5	1.4e-83
GCF_009730655.1	GMX02_RS21655	PF09618.10	CRISPR-associated protein (Cas_Csy4)	85.5	1.7e-26
GCF_009730655.1	GMX02_RS13895	PF13280.6	WYL domain	64.1	5.3e-20
GCF_009731445.1	GOZ47_RS06490	PF09704.10	CRISPR-associated protein (Cas_Cas5)	134.4	1.7e-41
GCF_009731445.1	GOZ47_RS06465	PF09827.9	CRISPR associated protein Cas2	84.6	1.3e-26
GCF_009731445.1	GOZ47_RS06470	PF01867.16	CRISPR associated protein Cas1	341.6	1e-104
GCF_009731445.1	GOZ47_RS06485	PF09709.10	CRISPR-associated protein (Cas_Csd1)	471.8	1e-143
GCF_009731445.1	GOZ47_RS06480	PF05107.12	CRISPR-associated protein Cas7	274.2	3.6e-84
GCF_009732795.1	GIY02_RS06760	PF13280.6	WYL domain	71.1	3.9e-22
GCF_009732835.1	GIY00_RS06925	PF13280.6	WYL domain	71.1	3.9e-22
GCF_009734145.1	GK020_RS11130	PF13280.6	WYL domain	99.7	6.5e-31
GCF_009734145.1	GK020_RS09735	PF13280.6	WYL domain	89.8	6.8e-28
GCF_009734165.1	FOC41_RS11555	PF13280.6	WYL domain	90.2	5.2e-28
GCF_009734265.1	GM160_RS08060	PF09344.10	CT1975-like protein	116.9	4.5e-36
GCF_009734265.1	GM160_RS08065	PF08798.11	CRISPR associated protein	120.0	5.5e-37
GCF_009734265.1	GM160_RS04220	PF13280.6	WYL domain	107.4	2.7e-33
GCF_009734265.1	GM160_RS08030	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	83.3	3.2e-26
GCF_009734265.1	GM160_RS08045	PF09344.10	CT1975-like protein	180.2	2.7e-55
GCF_009734265.1	GM160_RS08075	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	205.9	4.3e-63
GCF_009734265.1	GM160_RS08070	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	70.1	9.2e-22
GCF_009734265.1	GM160_RS08040	PF09704.10	CRISPR-associated protein (Cas_Cas5)	135.1	1e-41
GCF_009734365.1	F2Y32_RS05300	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	478.8	7.5e-146
GCF_009734365.1	F2Y32_RS05295	PF01867.16	CRISPR associated protein Cas1	88.9	1e-27
GCF_009734365.1	F2Y32_RS05290	PF09827.9	CRISPR associated protein Cas2	63.6	5e-20
GCF_009734365.1	F2Y32_RS04720	PF13280.6	WYL domain	64.6	3.9e-20
GCF_009734365.1	F2Y32_RS05300	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	184.5	1.1e-56
GCF_009734445.1	SYNTR_RS05930	PF09670.10	CRISPR-associated protein (Cas_Cas02710)	65.3	1.5e-20
GCF_009734445.1	SYNTR_RS05920	PF13280.6	WYL domain	98.9	1.1e-30
GCF_009734445.1	SYNTR_RS05915	PF01881.16	CRISPR associated protein Cas6	125.4	8.5e-39
GCF_009734445.1	SYNTR_RS05905	PF05107.12	CRISPR-associated protein Cas7	189.1	3.4e-58
GCF_009734445.1	SYNTR_RS05890	PF01930.17	Domain of unknown function DUF83	181.7	3.7e-56
GCF_009734445.1	SYNTR_RS04335	PF13280.6	WYL domain	103.4	4.7e-32
GCF_009734445.1	SYNTR_RS04595	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	111.4	5.4e-35
GCF_009734445.1	SYNTR_RS04630	PF18395.1	Cas3 C-terminal domain	100.6	2.2e-31
GCF_009734445.1	SYNTR_RS04605	PF08798.11	CRISPR associated protein	207.6	8.8e-64
GCF_009734445.1	SYNTR_RS04610	PF09704.10	CRISPR-associated protein (Cas_Cas5)	165.6	4.8e-51
GCF_009734445.1	SYNTR_RS04615	PF09344.10	CT1975-like protein	409.9	4.2e-125
GCF_009734445.1	SYNTR_RS04620	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	134.5	1.2e-41
GCF_009734445.1	SYNTR_RS04625	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	351.7	2.4e-107
GCF_009734445.1	SYNTR_RS05885	PF01867.16	CRISPR associated protein Cas1	324.9	1.2e-99
GCF_009734445.1	SYNTR_RS05845	PF03787.15	RAMP superfamily	86.2	1.1e-26
GCF_009734445.1	SYNTR_RS05840	PF03787.15	RAMP superfamily	81.6	2.7e-25
GCF_009734445.1	SYNTR_RS05825	PF09455.10	CRISPR-associated (Cas) DxTHG family	459.4	3.9e-140
GCF_009734445.1	SYNTR_RS04600	PF01867.16	CRISPR associated protein Cas1	64.6	2.6e-20
GCF_009735625.1	MGLY_RS08605	PF01881.16	CRISPR associated protein Cas6	112.5	8.5e-35
GCF_009735625.1	MGLY_RS08640	PF01867.16	CRISPR associated protein Cas1	309.4	6.4e-95
GCF_009735625.1	MGLY_RS08645	PF09827.9	CRISPR associated protein Cas2	80.7	2.3e-25
GCF_009735625.1	MGLY_RS08620	PF05107.12	CRISPR-associated protein Cas7	160.4	1.9e-49
GCF_009735625.1	MGLY_RS08635	PF01930.17	Domain of unknown function DUF83	173.2	1.4e-53
GCF_009735645.1	D7D94_RS02000	PF13280.6	WYL domain	78.8	1.7e-24
GCF_009735645.1	D7D94_RS01995	PF13280.6	WYL domain	83.9	4.4e-26
GCF_009738105.1	F5989_RS09985	PF01867.16	CRISPR associated protein Cas1	83.3	5.2e-26
GCF_009738105.1	F5989_RS09990	PF09827.9	CRISPR associated protein Cas2	65.0	1.8e-20
GCF_009738105.1	F5989_RS09995	PF09711.10	CRISPR-associated protein (Cas_Csn2)	234.1	2.7e-72
GCF_009738105.1	F5989_RS00790	PF09659.10	CRISPR-associated protein (Cas_Csm6)	87.6	2.4e-27
GCF_009738105.1	F5989_RS09980	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	164.1	1.9e-50
GCF_009738105.1	F5989_RS09980	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	720.0	6.1e-219
GCF_009738105.1	F5989_RS09690	PF13280.6	WYL domain	114.5	1.8e-35
GCF_009738105.1	F5989_RS08740	PF13280.6	WYL domain	96.8	5.1e-30
GCF_009738125.1	F9281_RS04175	PF13280.6	WYL domain	84.2	3.7e-26
GCF_009738125.1	F9281_RS12840	PF13280.6	WYL domain	92.3	1.1e-28
GCF_009738535.1	GJR85_RS01915	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	103.2	2e-32
GCF_009738535.1	GJR85_RS01905	PF08798.11	CRISPR associated protein	189.8	2.5e-58
GCF_009738535.1	GJR85_RS01900	PF09704.10	CRISPR-associated protein (Cas_Cas5)	149.6	3.7e-46
GCF_009738535.1	GJR85_RS01895	PF09344.10	CT1975-like protein	409.1	7.4e-125
GCF_009738535.1	GJR85_RS01890	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	71.6	3.1e-22
GCF_009738535.1	GJR85_RS01885	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	327.0	7.4e-100
GCF_009738535.1	GJR85_RS01010	PF09827.9	CRISPR associated protein Cas2	65.8	9.9e-21
GCF_009738535.1	GJR85_RS01005	PF01867.16	CRISPR associated protein Cas1	97.2	3.2e-30
GCF_009738535.1	GJR85_RS01000	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	184.3	1.3e-56
GCF_009738535.1	GJR85_RS01000	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	461.8	1.1e-140
GCF_009738535.1	GJR85_RS01880	PF18395.1	Cas3 C-terminal domain	92.4	7.9e-29
GCF_009738555.1	GE024_RS04950	PF09659.10	CRISPR-associated protein (Cas_Csm6)	85.1	1.3e-26
GCF_009738555.1	GE024_RS06075	PF01867.16	CRISPR associated protein Cas1	76.8	5e-24
GCF_009738555.1	GE024_RS06065	PF09711.10	CRISPR-associated protein (Cas_Csn2)	223.1	6.8e-69
GCF_009738555.1	GE024_RS06080	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	155.7	6.9e-48
GCF_009738555.1	GE024_RS06080	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	671.6	2.9e-204
GCF_009739535.1	DNL43_RS07645	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	487.3	2.1e-148
GCF_009739535.1	DNL43_RS07645	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	143.0	5.3e-44
GCF_009739535.1	DNL43_RS07650	PF01867.16	CRISPR associated protein Cas1	102.9	5.6e-32
GCF_009739535.1	DNL43_RS07655	PF09827.9	CRISPR associated protein Cas2	65.4	1.3e-20
GCF_009739595.1	EGX36_RS08240	PF13280.6	WYL domain	103.2	5.4e-32
GCF_009739595.1	EGX36_RS08245	PF13280.6	WYL domain	90.5	4.3e-28
GCF_009739635.1	EGX35_RS08245	PF13280.6	WYL domain	103.2	5.4e-32
GCF_009739635.1	EGX35_RS08250	PF13280.6	WYL domain	90.5	4.3e-28
GCF_009739655.1	EFE39_RS08805	PF13280.6	WYL domain	88.0	2.4e-27
GCF_009739655.1	EFE39_RS08800	PF13280.6	WYL domain	102.3	9.8e-32
GCF_009739905.1	EIZ62_RS26160	PF13280.6	WYL domain	95.8	1e-29
GCF_009739905.1	EIZ62_RS26835	PF13280.6	WYL domain	111.4	1.6e-34
GCF_009739905.1	EIZ62_RS19145	PF13280.6	WYL domain	96.8	4.8e-30
GCF_009739905.1	EIZ62_RS18655	PF13280.6	WYL domain	65.5	2.1e-20
GCF_009739905.1	EIZ62_RS18250	PF13280.6	WYL domain	104.9	1.6e-32
GCF_009739905.1	EIZ62_RS26840	PF13280.6	WYL domain	103.1	5.7e-32
GCF_009739905.1	EIZ62_RS23965	PF13280.6	WYL domain	146.0	3.7e-45
GCF_009739945.1	EUC40_RS13295	PF13280.6	WYL domain	102.0	1.2e-31
GCF_009739945.1	EUC40_RS22685	PF13280.6	WYL domain	94.0	3.4e-29
GCF_009739945.1	EUC40_RS20370	PF13280.6	WYL domain	129.9	3.4e-40
GCF_009739965.1	EUC38_RS06790	PF13280.6	WYL domain	90.8	3.4e-28
GCF_009740005.1	EQO03_RS13885	PF13280.6	WYL domain	133.8	2.1e-41
GCF_009740005.1	EQO03_RS20855	PF13280.6	WYL domain	100.9	2.6e-31
GCF_009740005.1	EQO03_RS11780	PF13280.6	WYL domain	88.8	1.4e-27
GCF_009740265.1	F9282_RS13340	PF09611.10	CRISPR-associated protein (Cas_Csy1)	340.0	5.9e-104
GCF_009740265.1	F9282_RS13330	PF09615.10	CRISPR-associated protein (Cas_Csy3)	458.4	4.9e-140
GCF_009740265.1	F9282_RS13325	PF09618.10	CRISPR-associated protein (Cas_Csy4)	154.1	1.5e-47
GCF_009740265.1	F9282_RS13335	PF09614.10	CRISPR-associated protein (Cas_Csy2)	304.0	3.7e-93
GCF_009746125.1	FKL89_RS05475	PF13280.6	WYL domain	112.1	1e-34
GCF_009746125.1	FKL89_RS10870	PF13280.6	WYL domain	116.8	3.6e-36
GCF_009746125.1	FKL89_RS05645	PF13280.6	WYL domain	75.2	2.1e-23
GCF_009746125.1	FKL89_RS01250	PF13280.6	WYL domain	67.7	4.3e-21
GCF_009749345.1	GN245_RS24280	PF13280.6	WYL domain	66.9	7.5e-21
GCF_009755585.1	GOY17_RS00140	PF13280.6	WYL domain	60.6	6.5e-19
GCF_009755585.1	GOY17_RS02095	PF13280.6	WYL domain	140.2	2.3e-43
GCF_009755625.1	GON15_RS24540	PF13280.6	WYL domain	66.1	1.3e-20
GCF_009755625.1	GON15_RS04790	PF13280.6	WYL domain	96.5	6.2e-30
GCF_009755625.1	GON15_RS05825	PF13280.6	WYL domain	115.7	7.7e-36
GCF_009755625.1	GON15_RS08700	PF13280.6	WYL domain	94.6	2.3e-29
GCF_009755665.1	GOQ09_RS09245	PF13280.6	WYL domain	68.6	2.2e-21
GCF_009755785.1	GO995_RS06385	PF18070.1	CRISPR-Cas9 PI domain	73.0	7.9e-23
GCF_009755785.1	GO995_RS06380	PF01867.16	CRISPR associated protein Cas1	111.8	1.1e-34
GCF_009755785.1	GO995_RS06370	PF16813.5	CRISPR-associated protein Csn2 subfamily St	247.5	6.4e-76
GCF_009755785.1	GO995_RS06385	PF18061.1	CRISPR-Cas9 WED domain	142.1	3.7e-44
GCF_009756665.1	E2H98_RS16815	PF01867.16	CRISPR associated protein Cas1	98.8	9.9e-31
GCF_009756665.1	E2H98_RS13365	PF13280.6	WYL domain	133.8	2.1e-41
GCF_009756665.1	E2H98_RS06860	PF13280.6	WYL domain	69.5	1.2e-21
GCF_009756665.1	E2H98_RS16820	PF09827.9	CRISPR associated protein Cas2	65.0	1.8e-20
GCF_009758075.1	GO596_RS06200	PF09711.10	CRISPR-associated protein (Cas_Csn2)	237.2	3.1e-73
GCF_009758075.1	GO596_RS06190	PF01867.16	CRISPR associated protein Cas1	87.8	2.2e-27
GCF_009758075.1	GO596_RS06185	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	140.3	3.4e-43
GCF_009758075.1	GO596_RS06195	PF09827.9	CRISPR associated protein Cas2	64.1	3.4e-20
GCF_009758075.1	GO596_RS06185	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	701.1	3.4e-213
GCF_009758075.1	GO596_RS03610	PF13280.6	WYL domain	78.1	2.6e-24
GCF_009758095.1	GPA00_RS02445	PF13280.6	WYL domain	77.0	6e-24
GCF_009758095.1	GPA00_RS09150	PF16813.5	CRISPR-associated protein Csn2 subfamily St	247.5	6.4e-76
GCF_009758095.1	GPA00_RS09160	PF01867.16	CRISPR associated protein Cas1	111.8	1.1e-34
GCF_009758095.1	GPA00_RS09165	PF18061.1	CRISPR-Cas9 WED domain	156.2	1.7e-48
GCF_009758095.1	GPA00_RS09165	PF18070.1	CRISPR-Cas9 PI domain	68.7	1.7e-21
GCF_009758095.1	GPA00_RS06810	PF13280.6	WYL domain	90.4	4.5e-28
GCF_009759785.1	FJN15_RS03595	PF09611.10	CRISPR-associated protein (Cas_Csy1)	353.9	3.4e-108
GCF_009759785.1	FJN15_RS03605	PF09615.10	CRISPR-associated protein (Cas_Csy3)	463.6	1.3e-141
GCF_009759785.1	FJN15_RS03610	PF09618.10	CRISPR-associated protein (Cas_Csy4)	169.8	2.2e-52
GCF_009759785.1	FJN15_RS03600	PF09614.10	CRISPR-associated protein (Cas_Csy2)	281.6	2.5e-86
GCF_009761735.1	EB234_RS06685	PF13280.6	WYL domain	67.6	4.7e-21
GCF_009762695.1	CpMB16_RS00135	PF01867.16	CRISPR associated protein Cas1	76.4	6.8e-24
GCF_009762695.1	CpMB16_RS00145	PF08798.11	CRISPR associated protein	114.0	3.8e-35
GCF_009762695.1	CpMB16_RS00160	PF09344.10	CT1975-like protein	246.7	1.7e-75
GCF_009762695.1	CpMB16_RS00165	PF09704.10	CRISPR-associated protein (Cas_Cas5)	110.7	3.1e-34
GCF_009762695.1	CpMB16_RS05365	PF13280.6	WYL domain	74.4	3.8e-23
GCF_009762695.1	CpMB16_RS05360	PF13280.6	WYL domain	86.6	6.5e-27
GCF_009762695.1	CpMB16_RS00130	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	75.5	8.4e-24
GCF_900005615.1	JCM7685_RS07035	PF13280.6	WYL domain	98.2	1.8e-30
GCF_900005615.1	JCM7685_RS14445	PF01930.17	Domain of unknown function DUF83	98.5	1.5e-30
GCF_900005615.1	JCM7685_RS14450	PF05107.12	CRISPR-associated protein Cas7	369.4	3.1e-113
GCF_900005615.1	JCM7685_RS14435	PF09827.9	CRISPR associated protein Cas2	82.9	4.4e-26
GCF_900005615.1	JCM7685_RS14455	PF09709.10	CRISPR-associated protein (Cas_Csd1)	498.3	9.6e-152
GCF_900005615.1	JCM7685_RS14460	PF09704.10	CRISPR-associated protein (Cas_Cas5)	126.5	4.6e-39
GCF_900005615.1	JCM7685_RS14440	PF01867.16	CRISPR associated protein Cas1	326.7	3.5e-100
GCF_900005615.1	JCM7685_RS00550	PF13280.6	WYL domain	84.8	2.4e-26
GCF_900015005.1	LACOL_RS00940	PF01867.16	CRISPR associated protein Cas1	100.0	4.2e-31
GCF_900015005.1	LACOL_RS00945	PF09827.9	CRISPR associated protein Cas2	62.1	1.4e-19
GCF_900015005.1	LACOL_RS00935	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	137.8	2.1e-42
GCF_900015005.1	LACOL_RS00935	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	451.6	1.3e-137
GCF_900015005.1	LACOL_RS00450	PF13280.6	WYL domain	76.1	1.1e-23
GCF_900066015.1	CFX0092_RS11460	PF13280.6	WYL domain	119.4	5.7e-37
GCF_900066015.1	CFX0092_RS11475	PF01905.16	CRISPR-associated negative auto-regulator DevR/Csa2	215.8	1.9e-66
GCF_900066015.1	CFX0092_RS15000	PF03787.15	RAMP superfamily	87.8	3.3e-27
GCF_900066015.1	CFX0092_RS15010	PF03787.15	RAMP superfamily	70.5	6.8e-22
GCF_900066015.1	CFX0092_RS11450	PF01867.16	CRISPR associated protein Cas1	238.9	2e-73
GCF_900066015.1	CFX0092_RS11435	PF01930.17	Domain of unknown function DUF83	70.3	6.7e-22
GCF_900070325.1	SD1D_RS02665	PF01867.16	CRISPR associated protein Cas1	334.0	2.1e-102
GCF_900070325.1	SD1D_RS02660	PF01930.17	Domain of unknown function DUF83	113.8	2.7e-35
GCF_900070325.1	SD1D_RS07015	PF13280.6	WYL domain	101.1	2.3e-31
GCF_900070325.1	SD1D_RS02670	PF09827.9	CRISPR associated protein Cas2	91.6	8.9e-29
GCF_900070325.1	SD1D_RS11000	PF13280.6	WYL domain	107.1	3.3e-33
GCF_900070325.1	SD1D_RS02650	PF09709.10	CRISPR-associated protein (Cas_Csd1)	316.2	1.4e-96
GCF_900070325.1	SD1D_RS02645	PF09704.10	CRISPR-associated protein (Cas_Cas5)	115.3	1.2e-35
GCF_900070325.1	SD1D_RS02655	PF05107.12	CRISPR-associated protein Cas7	264.5	3.2e-81
GCF_900070355.1	BN1724_RS02100	PF13280.6	WYL domain	60.8	5.8e-19
GCF_900070355.1	BN1724_RS09145	PF13280.6	WYL domain	93.3	5.7e-29
GCF_900078775.1	BN4366_RS28655	PF13280.6	WYL domain	110.7	2.6e-34
GCF_900078775.1	BN4366_RS08740	PF13280.6	WYL domain	102.5	8.7e-32
GCF_900078775.1	BN4366_RS08745	PF13280.6	WYL domain	109.5	6.1e-34
GCF_900086555.1	A8Q77_RS04230	PF01930.17	Domain of unknown function DUF83	127.9	1.2e-39
GCF_900086555.1	A8Q77_RS04235	PF05107.12	CRISPR-associated protein Cas7	372.3	4e-114
GCF_900086555.1	A8Q77_RS04240	PF09709.10	CRISPR-associated protein (Cas_Csd1)	546.5	2.5e-166
GCF_900086555.1	A8Q77_RS04245	PF09704.10	CRISPR-associated protein (Cas_Cas5)	159.3	4.1e-49
GCF_900086555.1	A8Q77_RS04225	PF01867.16	CRISPR associated protein Cas1	335.4	7.8e-103
GCF_900086555.1	A8Q77_RS04220	PF09827.9	CRISPR associated protein Cas2	88.5	8.5e-28
GCF_900086895.1	CR237_RS08580	PF13280.6	WYL domain	85.5	1.5e-26
GCF_900086895.1	CR237_RS08585	PF13280.6	WYL domain	81.4	2.6e-25
GCF_900087185.1	CR238_RS04645	PF13280.6	WYL domain	81.8	1.9e-25
GCF_900087185.1	CR238_RS04650	PF13280.6	WYL domain	84.7	2.6e-26
GCF_900087635.2	C7S05_RS06175	PF09709.10	CRISPR-associated protein (Cas_Csd1)	86.6	5.1e-27
GCF_900087645.2	C7S03_RS06390	PF09709.10	CRISPR-associated protein (Cas_Csd1)	244.7	6.6e-75
GCF_900087645.2	C7S03_RS06380	PF09709.10	CRISPR-associated protein (Cas_Csd1)	86.6	5.1e-27
GCF_900087645.2	C7S03_RS06350	PF01867.16	CRISPR associated protein Cas1	109.3	6.2e-34
GCF_900087645.2	C7S03_RS06365	PF01930.17	Domain of unknown function DUF83	122.0	8.5e-38
GCF_900087685.2	C7R97_RS04070	PF01930.17	Domain of unknown function DUF83	119.6	4.5e-37
GCF_900087685.2	C7R97_RS04055	PF09709.10	CRISPR-associated protein (Cas_Csd1)	86.6	5.1e-27
GCF_900087685.2	C7R97_RS04045	PF09709.10	CRISPR-associated protein (Cas_Csd1)	253.3	1.6e-77
GCF_900087685.2	C7R97_RS04085	PF01867.16	CRISPR associated protein Cas1	109.3	6.2e-34
GCF_900089595.1	GA0070611_RS07515	PF13280.6	WYL domain	142.2	5.7e-44
GCF_900089595.1	GA0070611_RS08060	PF13280.6	WYL domain	104.9	1.6e-32
GCF_900089595.1	GA0070611_RS08955	PF13280.6	WYL domain	112.8	6e-35
